title T3s C3s A3s G3s CAI CBI Fop Nc GC3s GC L_sym L_aa Gravy Aromo 
YCG9_Probable__________13 0.4337 0.2347 0.3588 0.1852 0.177 -0.083 0.360 54.09 0.335 0.394 439 458 0.610699 0.122271 
YCG8________573_residues_ 0.2876 0.3595 0.4222 0.1875 0.156 -0.036 0.372 52.46 0.439 0.446 180 190 -0.211579 0.084211 
ALPHA2________633_residue 0.3636 0.2273 0.4939 0.2177 0.153 -0.108 0.353 58.73 0.328 0.351 204 210 -0.667143 0.052381 
ALPHA1________528_residue 0.4361 0.2180 0.4228 0.2589 0.231 0.018 0.446 58.29 0.345 0.379 168 175 -0.522857 0.148571 
CHA1_________1083_residue 0.4399 0.2337 0.3927 0.1958 0.214 0.000 0.425 50.30 0.328 0.394 351 360 -0.046667 0.075000 
KRR1__________951_residue 0.4045 0.2409 0.4310 0.2591 0.193 -0.092 0.364 45.99 0.364 0.384 302 316 -0.762658 0.079114 
PRD1_________2139_residue 0.4180 0.2757 0.3244 0.3169 0.263 0.052 0.456 53.19 0.430 0.397 684 712 -0.481742 0.117978 
KAR4_________1008_residue 0.3931 0.2328 0.4412 0.2512 0.206 -0.011 0.413 50.47 0.354 0.383 322 335 -0.554030 0.089552 
PBN1_________1251_residue 0.4102 0.2156 0.4419 0.2210 0.196 -0.039 0.392 53.53 0.330 0.386 403 416 -0.462260 0.098558 
LRE1_________1761_residue 0.4072 0.2278 0.4202 0.2250 0.189 -0.126 0.358 52.23 0.347 0.419 570 586 -0.848123 0.061433 
APA1__________966_residue 0.3975 0.3156 0.4043 0.1972 0.274 0.110 0.485 42.55 0.385 0.395 309 321 -0.439252 0.093458 
YCE9__________939_residue 0.4041 0.3061 0.3440 0.2244 0.263 0.012 0.437 58.49 0.410 0.433 295 312 -0.452885 0.125000 
YCE8_________1392_residue 0.3850 0.2460 0.3835 0.3014 0.204 -0.012 0.407 49.11 0.396 0.370 454 463 -0.123974 0.073434 
YCE7__________777_residue 0.3861 0.2277 0.4022 0.3118 0.183 -0.084 0.363 58.22 0.394 0.391 251 258 -0.201938 0.104651 
YCE5_________2283_residue 0.4197 0.2705 0.3664 0.2416 0.224 -0.036 0.393 53.53 0.383 0.386 732 760 -0.225000 0.102632 
YCE6__________324_residue 0.3733 0.1867 0.3810 0.3291 0.227 -0.046 0.410 61.00 0.400 0.417 100 107 -0.404673 0.074766 
YCE4_________1254_residue 0.3441 0.3765 0.3099 0.2098 0.204 0.068 0.450 54.53 0.468 0.453 402 417 -0.442686 0.083933 
PDI1_________1569_residue 0.3243 0.4840 0.2541 0.2493 0.334 0.181 0.532 34.31 0.556 0.474 509 522 -0.248276 0.107280 
GLK1_________1503_residue 0.2775 0.3650 0.2402 0.3792 0.227 0.053 0.446 51.32 0.581 0.497 484 500 -0.220000 0.068000 
YCD8_________1587_residue 0.4497 0.2081 0.3171 0.2428 0.182 -0.071 0.365 50.90 0.353 0.395 502 528 0.498864 0.134470 
SRO9_________1401_residue 0.3800 0.3686 0.3616 0.1864 0.283 0.103 0.497 49.05 0.424 0.448 453 466 -0.957725 0.064378 
